Symbol,LongName,Groups,Trend,WklyPrdStg,DlyPrdStg,wTop10Corr,wTop10xCorr,dTop10Corr,dTop10xCorr
000001.SS,SSE Composite Index,I:Shanghi,W:f - D:f,0.2014,0.1198,"[[""XAE=F"", 0.30218], [""ERIC"", 0.26199], [""XAB=F"", 0.2231], [""NVDA"", 0.20864], [""EURUSD=X"", 0.204], [""EXAS"", 0.16484], [""^IXIC"", 0.15046], [""NVCR"", 0.14598], [""^XAX"", 0.14558], [""BA"", 0.08748], [""BAC"", 0.08692]]","[[""BAX"", 0.54369], [""^N225"", 0.52427], [""WOLF"", 0.51456], [""NOW"", 0.49515], [""XAF=F"", 0.45631], [""BAC"", 0.45631], [""BA"", 0.45631], [""^XAX"", 0.42718], [""NVCR"", 0.42718], [""^IXIC"", 0.42718], [""EXAS"", 0.41748]]","[[""EURUSD=X"", NaN], [""^IXIC"", 0.20342], [""NVDA"", 0.15947], [""EXAS"", 0.14737], [""WOLF"", 0.13506], [""ERIC"", 0.09145], [""XAB=F"", 0.05727], [""NVCR"", 0.04283], [""NOW"", 0.03067], [""XAE=F"", 0.01713], [""BAC"", 0.00896]]","[[""BAX"", 0.55769], [""BA"", 0.54808], [""XAF=F"", 0.55769], [""^N225"", 0.5], [""BAC"", 0.5], [""NOW"", 0.49038], [""ERIC"", 0.46154], [""EURUSD=X"", 0.44231], [""^XAX"", 0.53846], [""XAE=F"", 0.49038], [""NVCR"", 0.47115]]"
BA,The Boeing Company, ,W:f - D:f,0.0071,0.2027,"[[""NOW"", 0.34758], [""XAF=F"", 0.30566], [""^IXIC"", 0.25952], [""XAE=F"", 0.16762], [""XAB=F"", 0.16572], [""NVDA"", 0.15355], [""^N225"", 0.12847], [""BAC"", 0.10771], [""EXAS"", 0.10713], [""BAX"", 0.08857], [""000001.SS"", 0.08748]]","[[""ERIC"", 0.49515], [""^XAX"", 0.49515], [""NVCR"", 0.47573], [""WOLF"", 0.46602], [""EURUSD=X"", 0.46602], [""000001.SS"", 0.45631], [""BAX"", 0.45631], [""EXAS"", 0.4466], [""BAC"", 0.4466], [""^N225"", 0.43689], [""NVDA"", 0.42718]]","[[""EURUSD=X"", NaN], [""^XAX"", 0.30249], [""WOLF"", 0.27621], [""XAB=F"", 0.26788], [""EXAS"", 0.20817], [""XAE=F"", 0.20319], [""ERIC"", 0.19061], [""XAF=F"", 0.13567], [""BAC"", 0.13198], [""BAX"", 0.09486], [""^N225"", 0.02627]]","[[""000001.SS"", 0.54808], [""NVCR"", 0.5463], [""NVDA"", 0.53704], [""NOW"", 0.53704], [""^IXIC"", 0.5], [""^N225"", 0.48598], [""BAX"", 0.4537], [""BAC"", 0.43519], [""XAF=F"", 0.43519], [""ERIC"", 0.40741], [""XAE=F"", 0.39815]]"
BAC,Bank of America Corporation,,W:f - D:f,0.1300,0.2891,"[[""XAF=F"", 0.68834], [""XAB=F"", 0.43511], [""BAX"", 0.39454], [""XAE=F"", 0.39353], [""^XAX"", 0.35429], [""ERIC"", 0.27923], [""WOLF"", 0.2778], [""EXAS"", 0.26087], [""NVCR"", 0.20643], [""^N225"", 0.19734], [""^IXIC"", 0.19269]]","[[""000001.SS"", 0.45631], [""NOW"", 0.4466], [""BA"", 0.4466], [""EURUSD=X"", 0.4466], [""NVDA"", 0.42718], [""^IXIC"", 0.39806], [""^N225"", 0.39806], [""NVCR"", 0.39806], [""EXAS"", 0.36893], [""WOLF"", 0.36893], [""ERIC"", 0.35922]]","[[""BA"", 0.13198], [""000001.SS"", 0.00896], [""EURUSD=X"", NaN], [""XAF=F"", 0.59129], [""XAE=F"", 0.26074], [""ERIC"", 0.19907], [""NOW"", 0.19907], [""EXAS"", 0.1811], [""XAB=F"", 0.16045], [""WOLF"", 0.12524], [""^XAX"", 0.08709]]","[[""000001.SS"", 0.5], [""BA"", 0.43519], [""NVDA"", 0.5463], [""^N225"", 0.49533], [""BAX"", 0.46296], [""^IXIC"", 0.4537], [""ERIC"", 0.39815], [""EURUSD=X"", 0.52778], [""NVCR"", 0.53704], [""^XAX"", 0.4537], [""WOLF"", 0.44444]]"
BAX,Baxter International Inc., ,W:f - D:f,-0.0243,0.0973,"[[""XAF=F"", 0.50919], [""XAB=F"", 0.41531], [""BAC"", 0.39454], [""^XAX"", 0.2934], [""NVCR"", 0.26581], [""EURUSD=X"", 0.24451], [""WOLF"", 0.22219], [""^N225"", 0.21481], [""ERIC"", 0.18113], [""XAE=F"", 0.17551], [""EXAS"", 0.1242]]","[[""000001.SS"", 0.54369], [""NVDA"", 0.51456], [""^IXIC"", 0.46602], [""NOW"", 0.45631], [""BA"", 0.45631], [""EXAS"", 0.43689], [""XAE=F"", 0.40777], [""ERIC"", 0.40777], [""^N225"", 0.38835], [""WOLF"", 0.39806], [""EURUSD=X"", 0.37864]]","[[""EURUSD=X"", NaN], [""XAB=F"", 0.23547], [""XAE=F"", 0.14943], [""XAF=F"", 0.14237], [""BA"", 0.09486], [""NVCR"", 0.08209], [""BAC"", 0.07121], [""EXAS"", 0.03208], [""ERIC"", 0.01244], [""^XAX"", 0.01244], [""^N225"", -0.0614]]","[[""NOW"", 0.60185], [""WOLF"", 0.59259], [""NVDA"", 0.58333], [""000001.SS"", 0.55769], [""^IXIC"", 0.5463], [""^N225"", 0.53271], [""BAC"", 0.46296], [""ERIC"", 0.49074], [""^XAX"", 0.49074], [""EXAS"", 0.48148], [""NVCR"", 0.46296]]"
ERIC,Telefonaktiebolaget LM Ericsson (publ), ,W:f - D:f,0.2414,0.0582,"[[""XAB=F"", 0.4161], [""NVCR"", 0.34177], [""BAC"", 0.27923], [""000001.SS"", 0.26199], [""XAF=F"", 0.23847], [""^IXIC"", 0.21957], [""XAE=F"", 0.21918], [""EURUSD=X"", 0.20461], [""EXAS"", 0.20279], [""BAX"", 0.18113], [""^N225"", 0.14079]]","[[""NOW"", 0.49515], [""BA"", 0.49515], [""WOLF"", 0.45631], [""NVDA"", 0.43689], [""^N225"", 0.42718], [""^XAX"", 0.42718], [""BAX"", 0.40777], [""EXAS"", 0.39806], [""EURUSD=X"", 0.39806], [""XAE=F"", 0.38835], [""^IXIC"", 0.38835]]","[[""BAC"", 0.19907], [""BA"", 0.19061], [""000001.SS"", 0.09145], [""BAX"", 0.01244], [""EURUSD=X"", NaN], [""^IXIC"", 0.32024], [""WOLF"", 0.30876], [""XAB=F"", 0.28472], [""NOW"", 0.25], [""XAF=F"", 0.15452], [""NVDA"", 0.14503]]","[[""BAX"", 0.49074], [""000001.SS"", 0.46154], [""BA"", 0.40741], [""BAC"", 0.39815], [""EURUSD=X"", 0.55556], [""XAE=F"", 0.5463], [""^N225"", 0.50467], [""NVCR"", 0.4537], [""EXAS"", 0.43519], [""^XAX"", 0.42593], [""NVDA"", 0.42593]]"
EURUSD=X,EUR/USD,I:EURO,W:f - D:f,-0.4671,0.3474,"[[""BAX"", 0.24451], [""EXAS"", 0.22369], [""XAE=F"", 0.20677], [""^N225"", 0.20677], [""ERIC"", 0.20461], [""000001.SS"", 0.204], [""XAF=F"", 0.18789], [""^IXIC"", 0.17753], [""^XAX"", 0.16762], [""XAB=F"", 0.16572], [""NVDA"", 0.15355]]","[[""WOLF"", 0.50485], [""BA"", 0.46602], [""NOW"", 0.46602], [""BAC"", 0.4466], [""NVCR"", 0.43689], [""NVDA"", 0.42718], [""XAB=F"", 0.41748], [""^XAX"", 0.41748], [""^IXIC"", 0.41748], [""XAF=F"", 0.40777], [""000001.SS"", 0.39806]]","[[""000001.SS"", NaN], [""BA"", NaN], [""BAC"", NaN], [""BAX"", NaN], [""ERIC"", NaN], [""EXAS"", NaN], [""NOW"", NaN], [""NVCR"", NaN], [""NVDA"", NaN], [""WOLF"", NaN], [""XAB=F"", NaN]]","[[""000001.SS"", 0.44231], [""BA"", 0.48148], [""BAC"", 0.52778], [""BAX"", 0.52778], [""ERIC"", 0.55556], [""EXAS"", 0.5463], [""NOW"", 0.55556], [""NVCR"", 0.43519], [""NVDA"", 0.51852], [""WOLF"", 0.39815], [""XAB=F"", 0.57407]]"
EXAS,Exact Sciences Corporation, ,W:f - D:f,-0.1000,0.0500,"[[""XAB=F"", 0.39728], [""XAF=F"", 0.30005], [""^IXIC"", 0.28749], [""XAE=F"", 0.28024], [""WOLF"", 0.27077], [""BAC"", 0.26087], [""^N225"", 0.24107], [""^XAX"", 0.24107], [""EURUSD=X"", 0.22369], [""NVCR"", 0.20491], [""ERIC"", 0.20279]]","[[""NOW"", 0.46602], [""BA"", 0.4466], [""BAX"", 0.43689], [""NVDA"", 0.42718], [""000001.SS"", 0.41748], [""ERIC"", 0.39806], [""NVCR"", 0.39806], [""EURUSD=X"", 0.38835], [""^N225"", 0.37864], [""^XAX"", 0.37864], [""BAC"", 0.36893]]","[[""BA"", 0.20817], [""BAC"", 0.1811], [""000001.SS"", 0.14737], [""ERIC"", 0.1206], [""BAX"", 0.03208], [""EURUSD=X"", NaN], [""XAF=F"", 0.25044], [""XAB=F"", 0.34338], [""NOW"", 0.19546], [""^IXIC"", 0.15281], [""NVDA"", 0.12683]]","[[""BAX"", 0.48148], [""ERIC"", 0.43519], [""000001.SS"", 0.43269], [""BAC"", 0.40741], [""BA"", 0.39815], [""EURUSD=X"", 0.5463], [""^N225"", 0.5514], [""WOLF"", 0.48148], [""XAE=F"", 0.46296], [""^XAX"", 0.4537], [""NVCR"", 0.44444]]"
NOW,"ServiceNow, Inc.", ,W:u - D:f,0.5600,-0.0109,"[[""^IXIC"", 0.40578], [""BA"", 0.34758], [""NVDA"", 0.30729], [""XAF=F"", 0.24196], [""^N225"", 0.22507], [""XAB=F"", 0.15901], [""^XAX"", 0.10557], [""WOLF"", 0.10152], [""BAC"", 0.09613], [""NVCR"", 0.09441], [""BAX"", 0.07278]]","[[""ERIC"", 0.49515], [""000001.SS"", 0.49515], [""EXAS"", 0.46602], [""XAE=F"", 0.45631], [""EURUSD=X"", 0.46602], [""BAX"", 0.45631], [""NVCR"", 0.45631], [""BAC"", 0.4466], [""WOLF"", 0.46602], [""^XAX"", 0.43689], [""XAB=F"", 0.41748]]","[[""EURUSD=X"", NaN], [""^IXIC"", 0.47194], [""ERIC"", 0.25], [""BAC"", 0.19907], [""EXAS"", 0.19546], [""WOLF"", 0.15649], [""NVDA"", 0.14503], [""XAF=F"", 0.07935], [""^N225"", 0.05385], [""000001.SS"", 0.03067], [""NVCR"", -0.00418]]","[[""BAX"", 0.60185], [""BA"", 0.53704], [""XAB=F"", 0.5], [""XAE=F"", 0.50926], [""^XAX"", 0.5], [""NVCR"", 0.50926], [""000001.SS"", 0.49038], [""^N225"", 0.47664], [""XAF=F"", 0.4537], [""NVDA"", 0.42593], [""WOLF"", 0.43519]]"
NVCR,NovoCure Limited,T: Long-10/16,W:f - D:f,0.2071,0.0891,"[[""ERIC"", 0.34177], [""BAX"", 0.26581], [""XAF=F"", 0.24973], [""^IXIC"", 0.24568], [""^N225"", 0.2289], [""XAB=F"", 0.22508], [""NVDA"", 0.21928], [""BAC"", 0.20643], [""EXAS"", 0.20491], [""000001.SS"", 0.14598], [""EURUSD=X"", 0.12599]]","[[""^XAX"", 0.52427], [""BA"", 0.47573], [""NOW"", 0.45631], [""XAE=F"", 0.4466], [""WOLF"", 0.43689], [""EURUSD=X"", 0.43689], [""000001.SS"", 0.42718], [""EXAS"", 0.39806], [""BAC"", 0.39806], [""NVDA"", 0.39806], [""XAB=F"", 0.38835]]","[[""ERIC"", 0.10858], [""BAX"", 0.08209], [""000001.SS"", 0.04283], [""BAC"", -0.06755], [""EURUSD=X"", NaN], [""EXAS"", 0.1247], [""NOW"", -0.00418], [""BA"", -0.09829], [""NVDA"", 0.2478], [""^IXIC"", 0.15767], [""XAB=F"", 0.07624]]","[[""BA"", 0.5463], [""BAC"", 0.53704], [""NOW"", 0.50926], [""000001.SS"", 0.47115], [""BAX"", 0.46296], [""ERIC"", 0.4537], [""EXAS"", 0.44444], [""EURUSD=X"", 0.43519], [""^XAX"", 0.60185], [""XAE=F"", 0.53704], [""XAF=F"", 0.51852]]"
NVDA,NVIDIA Corporation, ,W:f - D:f,0.3071,0.0255,"[[""^IXIC"", 0.55597], [""NOW"", 0.30729], [""^N225"", 0.30011], [""WOLF"", 0.28007], [""NVCR"", 0.21928], [""000001.SS"", 0.20864], [""XAB=F"", 0.19832], [""BA"", 0.15355], [""EURUSD=X"", 0.15355], [""EXAS"", 0.14306], [""BAC"", 0.13275]]","[[""BAX"", 0.51456], [""^XAX"", 0.45631], [""XAE=F"", 0.43689], [""XAF=F"", 0.42718], [""ERIC"", 0.43689], [""BAC"", 0.42718], [""EXAS"", 0.42718], [""BA"", 0.42718], [""EURUSD=X"", 0.42718], [""XAB=F"", 0.39806], [""000001.SS"", 0.39806]]","[[""EURUSD=X"", NaN], [""^IXIC"", 0.63417], [""WOLF"", 0.29163], [""000001.SS"", 0.15947], [""NVCR"", 0.2478], [""ERIC"", 0.14503], [""NOW"", 0.14503], [""EXAS"", 0.12683], [""XAB=F"", 0.10688], [""^N225"", 0.04869], [""XAF=F"", 0.01384]]","[[""XAE=F"", 0.60185], [""BAX"", 0.58333], [""BAC"", 0.5463], [""BA"", 0.53704], [""^XAX"", 0.51852], [""XAF=F"", 0.49074], [""^N225"", 0.47664], [""XAB=F"", 0.44444], [""EXAS"", 0.43519], [""ERIC"", 0.42593], [""NOW"", 0.42593]]"
WM,"Waste Management, Inc.", ,W:f - D:f,0.3379,0.2425,0.0,"[[""EGAN"", ""1-F | 0.004 | 0.482""], [""AAPL"", ""1-F | 0.005 | 0.829""], [""QCOM"", ""1-F | 0.013 | 0.628""], [""GD"", ""1-F | 0.013 | 0.895""], [""000001.SS"", ""1-F | 0.017 | 0.959""], [""^N225"", ""1-F | 0.018 | 0.967""], [""AMX"", ""1-F | 0.019 | 0.460""], [""NEE"", ""1-F | 0.019 | 0.614""], [""CMCSA"", ""1-F | 0.021 | 0.062""], [""XAU=F"", ""1-F | 0.021 | 0.546""], [""INTC"", ""1-F | 0.021 | 0.653""]]",0.0,0.0,"[[""ADP"", 0.52085], [""CL"", 0.51197], [""PG"", 0.42158], [""MDLZ"", 0.38575], [""CCI"", 0.38444], [""CMCSA"", 0.36422], [""ACN"", 0.34386], [""BAX"", 0.33909], [""LIN"", 0.33892], [""AON"", 0.3372], [""VZ"", 0.33161]]","[[""EGAN"", -0.33364], [""FSLR"", -0.25839], [""^N225"", -0.25139], [""LRCX"", -0.22212], [""UCTT"", -0.21718], [""GOOG"", -0.21107], [""GOOGL"", -0.21049], [""LSCC"", -0.20179], [""PACB"", -0.19936], [""BFH"", -0.19863], [""BIDU"", -0.19182]]"
WMT,Walmart Inc., ,W:f - D:f,0.4017,0.354,0.0,"[[""TRV"", ""0-T  | ""], [""CLDX"", ""1-F | 0.006 | 0.109""], [""MASI"", ""1-F | 0.011 | 0.707""], [""CCI"", ""1-F | 0.012 | 0.902""], [""DHR"", ""1-F | 0.019 | 0.072""], [""MDB"", ""1-F | 0.021 | 0.948""], [""QCOM"", ""1-F | 0.023 | 0.060""], [""TEVA"", ""1-F | 0.027 | 0.011""], [""MDLZ"", ""1-F | 0.028 | 0.912""], [""SYNA"", ""1-F | 0.032 | 0.004""], [""LSCC"", ""1-F | 0.033 | 0.093""]]",0.0,0.0,"[[""LOW"", 0.40896], [""CSX"", 0.40008], [""USB"", 0.39641], [""TRV"", 0.38882], [""SCHW"", 0.37861], [""IONS"", 0.36775], [""XAF=F"", 0.36555], [""BLK"", 0.36075], [""JNJ"", 0.36035], [""IBM"", 0.35703], [""AXP"", 0.34872]]","[[""NVCR"", -0.22536], [""FXP"", -0.21473], [""JD"", -0.17422], [""CNMD"", -0.15723], [""JPYUSD=X"", -0.13984], [""SRPT"", -0.1351], [""HRTX"", -0.13441], [""CI"", -0.10813], [""IART"", -0.10613], [""HUBS"", -0.09837], [""MASI"", -0.08629]]"
WOLF,"Wolfspeed, Inc.",T: Long,W:f - D:f,0.2748,0.1164,"[[""^IXIC"", 0.44108], [""NVDA"", 0.28007], [""BAC"", 0.2778], [""EXAS"", 0.27077], [""^N225"", 0.26937], [""^XAX"", 0.26937], [""XAB=F"", 0.25452], [""BAX"", 0.22219], [""XAF=F"", 0.13408], [""NVCR"", 0.12315], [""NOW"", 0.10152]]","[[""000001.SS"", 0.51456], [""EURUSD=X"", 0.50485], [""XAE=F"", 0.49515], [""BA"", 0.46602], [""ERIC"", 0.45631], [""NOW"", 0.46602], [""NVCR"", 0.43689], [""XAF=F"", 0.4466], [""BAX"", 0.39806], [""XAB=F"", 0.37864], [""^N225"", 0.37864]]","[[""ERIC"", 0.30876], [""BA"", 0.27621], [""EURUSD=X"", NaN], [""NVDA"", 0.29163], [""NOW"", 0.15649], [""000001.SS"", 0.13506], [""BAC"", 0.12524], [""EXAS"", 0.05734], [""NVCR"", 0.0491], [""BAX"", -0.17787], [""^IXIC"", 0.28943]]","[[""BAX"", 0.59259], [""NVCR"", 0.46296], [""EXAS"", 0.48148], [""BAC"", 0.44444], [""000001.SS"", 0.42308], [""NOW"", 0.43519], [""BA"", 0.36111], [""NVDA"", 0.36111], [""ERIC"", 0.36111], [""EURUSD=X"", 0.39815], [""XAE=F"", 0.48148]]"
XAB=F,E-mini Materials Select Sector ,I:EminiMaterials,W:f - D:f,-0.3429,0.0391,"[[""XAF=F"", 0.55287], [""XAE=F"", 0.53274], [""^XAX"", 0.53274], [""BAC"", 0.43511], [""ERIC"", 0.4161], [""BAX"", 0.41531], [""EXAS"", 0.39728], [""^IXIC"", 0.3427], [""^N225"", 0.25838], [""WOLF"", 0.25452], [""NVCR"", 0.22508]]","[[""NOW"", 0.41748], [""BA"", 0.41748], [""EURUSD=X"", 0.41748], [""NVDA"", 0.39806], [""000001.SS"", 0.38835], [""NVCR"", 0.38835], [""WOLF"", 0.37864], [""^N225"", 0.36893], [""^IXIC"", 0.3301], [""EXAS"", 0.30097], [""BAX"", 0.29126]]","[[""EURUSD=X"", NaN], [""EXAS"", 0.34338], [""XAF=F"", 0.30145], [""ERIC"", 0.28472], [""BA"", 0.26788], [""^XAX"", 0.24704], [""WOLF"", 0.24156], [""^IXIC"", 0.23854], [""BAX"", 0.23547], [""XAE=F"", 0.20879], [""BAC"", 0.16045]]","[[""^N225"", 0.61682], [""NOW"", 0.5], [""000001.SS"", 0.48077], [""NVCR"", 0.47222], [""NVDA"", 0.44444], [""BAC"", 0.41667], [""XAE=F"", 0.39815], [""BAX"", 0.37963], [""^IXIC"", 0.37037], [""WOLF"", 0.39815], [""^XAX"", 0.37037]]"
