Symbol,LongName,Groups,Trend,WklyPrdStg,DlyPrdStg,wTop10Coint,dTop10Coint,wTop10Corr,wTop10xCorr,dTop10Corr,dTop10xCorr
000001.SS,SSE Composite Index,I:Shanghi,W:f - D:f,-0.1826,0.0444,"[[""HIMX"", ""1-F | 0.00522 | 0.06532""], [""JD"", ""1-F | 0.01552 | 0.05292""], [""UCTT"", ""1-F | 0.01848 | 0.05738""], [""APTV"", ""1-F | 0.02089 | 0.04718""], [""TRMB"", ""1-F | 0.02124 | 0.05513""], [""CLDX"", ""1-F | 0.02452 | 0.05433""], [""MDB"", ""1-F | 0.02558 | 0.00657""], [""UPS"", ""1-F | 0.03201 | 0.04268""], [""SRPT"", ""1-F | 0.03445 | 0.09501""], [""SYNA"", ""1-F | 0.04104 | 0.03297""], [""CMCSA"", ""1-F | 0.04220 | 0.06378""]]","[[""IONS"", ""1-F | 0.00735 | 0.47864""], [""CLDX"", ""1-F | 0.02089 | 0.48335""], [""SCHW"", ""1-F | 0.03015 | 0.45431""], [""MASI"", ""1-F | 0.03084 | 0.39259""], [""CNC"", ""1-F | 0.03197 | 0.49148""], [""PTCT"", ""1-F | 0.05319 | 0.45095""], [""TMO"", ""1-F | 0.07845 | 0.54717""], [""HON"", ""1-F | 0.08423 | 0.43764""], [""AAOI"", ""1-F | 0.08573 | 0.42357""], [""XNCR"", ""1-F | 0.08911 | 0.45861""], [""BKNG"", ""1-F | 0.08918 | 0.76679""]]","[[""JD"", 0.3727], [""FXI"", 0.33185], [""TRMB"", 0.32716], [""SYNA"", 0.30829], [""BIDU"", 0.30571], [""HIMX"", 0.30563], [""APTV"", 0.30005], [""ANTM.JK"", 0.28538], [""UPS"", 0.27736], [""XAB=F"", 0.27628], [""TXN"", 0.27065]]","[[""FXP"", -0.39435], [""SRPT"", -0.13266], [""HAE"", -0.09515], [""TEVA"", -0.05483], [""MRK"", -0.05171], [""IONS"", -0.04951], [""T"", -0.04233], [""BA"", -0.04225], [""HRTX"", -0.04083], [""CNC"", -0.0309], [""LIVN"", -0.01396]]","[[""JD"", 0.2578], [""MASI"", 0.24847], [""ZM"", 0.24325], [""FXI"", 0.2394], [""TRMB"", 0.23582], [""MA"", 0.23494], [""WMT"", 0.23412], [""BMY"", 0.21851], [""BKNG"", 0.21593], [""T"", 0.19594], [""CSCO"", 0.19561]]","[[""CLDX"", -0.2042], [""NEOG"", -0.19141], [""ADBE"", -0.18524], [""CRSP"", -0.17925], [""FXP"", -0.1699], [""MDLZ"", -0.16514], [""PLD"", -0.16089], [""EURUSD=X"", -0.1597], [""DHR"", -0.15831], [""GLPG"", -0.15768], [""ASND"", -0.15621]]"
AAOI,"Applied Optoelectronics, Inc.",T: Long,W:f - D:f,0.1860,0.1180,"[[""MO"", ""0-T  | ""], [""TEVA"", ""0-T  | ""], [""EXEL"", ""1-F | 0.00363 | 0.03515""], [""VRSN"", ""1-F | 0.00496 | 0.03158""], [""IRTC"", ""1-F | 0.00987 | 0.03017""], [""CNMD"", ""1-F | 0.01426 | 0.19889""], [""WOLF"", ""1-F | 0.01702 | 0.44572""], [""NKE"", ""1-F | 0.01792 | 0.26000""], [""CLSK"", ""1-F | 0.02511 | 0.00511""], [""IMAX"", ""1-F | 0.02836 | 0.02284""], [""PLD"", ""1-F | 0.03138 | 0.17384""]]","[[""V"", ""1-F | 0.00039 | 0.03075""], [""ADM"", ""1-F | 0.00708 | 0.93993""], [""ZM"", ""1-F | 0.01454 | 0.00236""], [""MASI"", ""1-F | 0.02482 | 0.21556""], [""MRVL"", ""1-F | 0.04513 | 0.21261""], [""TRMB"", ""1-F | 0.05183 | 0.02964""], [""CSCO"", ""1-F | 0.15728 | 0.47520""], [""CRM"", ""1-F | 0.17089 | 0.33445""], [""PEP"", ""1-F | 0.20290 | 0.98373""], [""NOW"", ""1-F | 0.22962 | 0.81926""], [""NFLX"", ""1-F | 0.23830 | 0.67947""]]","[[""TEVA"", 0.3997], [""BFH"", 0.37824], [""NNDM"", 0.34639], [""OPK"", 0.3292], [""GRPN"", 0.31411], [""CLSK"", 0.30115], [""BIDU"", 0.2949], [""MOMO"", 0.27287], [""INCY"", 0.27221], [""ALKS"", 0.26067], [""HRTX"", 0.25209]]","[[""PEP"", -0.1286], [""MDLZ"", -0.10564], [""PG"", -0.10227], [""ABT"", -0.09707], [""SBUX"", -0.09365], [""NEE"", -0.09185], [""CNC"", -0.09099], [""MRK"", -0.09037], [""JNJ"", -0.08921], [""CCI"", -0.08816], [""WM"", -0.0867]]","[[""NFLX"", 0.40299], [""^GSPC"", 0.38434], [""AXON"", 0.38106], [""^IXIC"", 0.37645], [""TSLA"", 0.37029], [""CLS"", 0.36638], [""NOW"", 0.34118], [""AVGO"", 0.3336], [""BKNG"", 0.33352], [""XAI=F"", 0.32848], [""MRVL"", 0.32317]]","[[""MRK"", -0.26334], [""PFE"", -0.23705], [""PEP"", -0.21492], [""ADM"", -0.20506], [""EURUSD=X"", -0.19168], [""FXP"", -0.15405], [""CI"", -0.1429], [""MDLZ"", -0.13805], [""TMO"", -0.13032], [""CNC"", -0.13026], [""DHR"", -0.12238]]"
AAPL,Apple Inc.,,W:f - D:f,0.2244,0.1156,"[[""HD"", ""1-F | 0.01543 | 0.00501""], [""LOW"", ""1-F | 0.02276 | 0.00533""], [""FXP"", ""1-F | 0.03451 | 0.89801""], [""ITW"", ""1-F | 0.04327 | 0.48085""], [""LIN"", ""1-F | 0.05308 | 0.29092""], [""^DJI"", ""1-F | 0.06239 | 0.77600""], [""SO"", ""1-F | 0.09777 | 0.94167""], [""ADP"", ""1-F | 0.10187 | 0.07776""], [""MCD"", ""1-F | 0.10376 | 0.74884""], [""EMR"", ""1-F | 0.10556 | 0.87926""], [""MA"", ""1-F | 0.11727 | 0.20719""]]","[[""AMX"", ""1-F | 0.02344 | 0.88162""], [""UPS"", ""1-F | 0.03338 | 0.84384""], [""EL"", ""1-F | 0.03398 | 0.94526""], [""INCY"", ""1-F | 0.05108 | 0.69935""], [""MDRX"", ""1-F | 0.05882 | 0.84405""], [""BFH"", ""1-F | 0.08615 | 0.69854""], [""SEDG"", ""1-F | 0.11877 | 0.87283""], [""MMM"", ""1-F | 0.16474 | 0.07423""], [""BCRX"", ""1-F | 0.16488 | 0.84048""], [""MOMO"", ""1-F | 0.18119 | 0.84921""], [""TEVA"", ""1-F | 0.19195 | 0.83482""]]","[[""XAK=F"", 0.69909], [""^IXIC"", 0.69428], [""^GSPC"", 0.65574], [""GOOG"", 0.58992], [""MSFT"", 0.58798], [""GOOGL"", 0.57742], [""^DJI"", 0.56786], [""ADBE"", 0.53754], [""V"", 0.53054], [""ACN"", 0.52173], [""NVDA"", 0.5167]]","[[""FXP"", -0.39263], [""JPYUSD=X"", -0.18028], [""MOMO"", -0.1643], [""T"", -0.12764], [""BFH"", -0.11481], [""GRPN"", -0.1148], [""ALKS"", -0.10359], [""HRTX"", -0.10297], [""YY"", -0.09008], [""VZ"", -0.08565], [""GLPG"", -0.06692]]","[[""^IXIC"", 0.48213], [""XAK=F"", 0.46602], [""^GSPC"", 0.43754], [""FXI"", 0.4024], [""NVDA"", 0.38349], [""ISRG"", 0.35762], [""INCY"", 0.35583], [""TSLA"", 0.35311], [""TXN"", 0.3436], [""BKNG"", 0.32822], [""AVGO"", 0.32208]]","[[""FXP"", -0.3488], [""EL"", -0.18974], [""NKE"", -0.17901], [""LIVN"", -0.16917], [""MDLZ"", -0.16294], [""IART"", -0.1586], [""CNC"", -0.15639], [""PEP"", -0.15461], [""IRTC"", -0.15294], [""INTC"", -0.14251], [""CI"", -0.1335]]"
ABT,Abbott Laboratories,,W:f - D:f,0.0395,0.1096,"[[""MDB"", ""1-F | 0.01413 | 0.26095""], [""MOMO"", ""1-F | 0.01791 | 0.40461""], [""HON"", ""1-F | 0.02310 | 0.00939""], [""NEE"", ""1-F | 0.02705 | 0.03980""], [""GRPN"", ""1-F | 0.04014 | 0.65463""], [""BA"", ""1-F | 0.05246 | 0.64667""], [""APD"", ""1-F | 0.06200 | 0.10646""], [""CSX"", ""1-F | 0.08677 | 0.29804""], [""TSLA"", ""1-F | 0.08975 | 0.83914""], [""PLD"", ""1-F | 0.09151 | 0.02446""], [""SBUX"", ""1-F | 0.10031 | 0.03440""]]","[[""SBUX"", ""0-T  | ""], [""ALKS"", ""1-F | 0.00108 | 0.05467""], [""ACN"", ""1-F | 0.00118 | 0.38124""], [""MCD"", ""1-F | 0.00453 | 0.29656""], [""BMY"", ""1-F | 0.02785 | 0.00914""], [""ADM"", ""1-F | 0.02851 | 0.50599""], [""SRCL"", ""1-F | 0.04699 | 0.23965""], [""QCOM"", ""1-F | 0.06037 | 0.39191""], [""HRTX"", ""1-F | 0.07119 | 0.41925""], [""HAE"", ""1-F | 0.08930 | 0.19907""], [""HD"", ""1-F | 0.09808 | 0.51856""]]","[[""TMO"", 0.58489], [""DHR"", 0.56195], [""SYK"", 0.52583], [""ACN"", 0.50213], [""^DJI"", 0.48222], [""VRSN"", 0.47209], [""ISRG"", 0.46901], [""^GSPC"", 0.4636], [""JNJ"", 0.46342], [""PLD"", 0.45931], [""MA"", 0.45218]]","[[""FXP"", -0.32511], [""GRPN"", -0.12106], [""CLSK"", -0.10861], [""HRTX"", -0.10402], [""NNDM"", -0.09916], [""AAOI"", -0.09707], [""MOMO"", -0.0947], [""MO"", -0.08737], [""IMAX"", -0.07828], [""ALKS"", -0.07383], [""YY"", -0.0605]]","[[""MDT"", 0.42068], [""JNJ"", 0.37035], [""SYK"", 0.35978], [""ADP"", 0.35874], [""MA"", 0.3445], [""MCD"", 0.3439], [""BMY"", 0.33694], [""PSA"", 0.33423], [""AON"", 0.32835], [""GILD"", 0.31829], [""IBM"", 0.31604]]","[[""QCOM"", -0.23719], [""FSLR"", -0.20927], [""UCTT"", -0.1772], [""LRCX"", -0.17358], [""VSH"", -0.15975], [""GOOG"", -0.14467], [""HRTX"", -0.14453], [""CLSK"", -0.14404], [""SMCI"", -0.14209], [""GOOGL"", -0.13761], [""ADM"", -0.12905]]"
ACAD,ACADIA Pharmaceuticals Inc.,T:Long-11/08,W:f - D:f,0.2035,0.1096,"[[""EOG"", ""1-F | 0.00109 | 0.58886""], [""ALGM"", ""1-F | 0.00623 | 0.03742""], [""XAE=F"", ""1-F | 0.02741 | 0.69153""], [""CVX"", ""1-F | 0.04389 | 0.54229""], [""XOM"", ""1-F | 0.05854 | 0.76882""], [""RTX"", ""1-F | 0.06327 | 0.63732""], [""SCHW"", ""1-F | 0.06411 | 0.55831""], [""AIG"", ""1-F | 0.07179 | 0.65991""], [""GD"", ""1-F | 0.10168 | 0.74053""], [""^XAX"", ""1-F | 0.10886 | 0.95987""], [""AMX"", ""1-F | 0.11617 | 0.27205""]]","[[""ADM"", ""1-F | 0.00789 | 0.46588""], [""NNDM"", ""1-F | 0.01480 | 0.01353""], [""GE"", ""1-F | 0.01618 | 0.05075""], [""SYY"", ""1-F | 0.01754 | 0.00307""], [""CSX"", ""1-F | 0.01856 | 0.00439""], [""INTU"", ""1-F | 0.02122 | 0.00026""], [""GRPN"", ""1-F | 0.02700 | 0.00970""], [""ASND"", ""1-F | 0.03052 | 0.00130""], [""ALGM"", ""1-F | 0.03668 | 0.05587""], [""SMCI"", ""1-F | 0.03788 | 0.56956""], [""BA"", ""1-F | 0.03834 | 0.31939""]]","[[""GLPG"", 0.3656], [""IONS"", 0.36144], [""NEO"", 0.308], [""EXAS"", 0.30237], [""PTCT"", 0.29629], [""FOLD"", 0.29446], [""INCY"", 0.29304], [""HRTX"", 0.28356], [""XNCR"", 0.27474], [""QURE"", 0.27191], [""NVCR"", 0.26917]]","[[""RTX"", -0.1193], [""ADM"", -0.10562], [""PEP"", -0.10108], [""KO"", -0.09562], [""AMX"", -0.09213], [""WM"", -0.08986], [""WMT"", -0.08923], [""AIG"", -0.08851], [""ALL"", -0.08817], [""TRV"", -0.08505], [""MDLZ"", -0.08345]]","[[""FOLD"", 0.43345], [""GLPG"", 0.39634], [""SYNA"", 0.38838], [""IRWD"", 0.38411], [""PACB"", 0.37848], [""CNMD"", 0.36603], [""INTC"", 0.33948], [""SEDG"", 0.33601], [""CRSP"", 0.3337], [""QLYS"", 0.32987], [""IONS"", 0.31229]]","[[""GC=F"", -0.32449], [""XOM"", -0.20143], [""WM"", -0.18594], [""TEVA"", -0.18111], [""NVDA"", -0.15706], [""CB"", -0.14755], [""AIG"", -0.14235], [""WMT"", -0.13873], [""NEE"", -0.13841], [""ALL"", -0.1343], [""SO"", -0.13196]]"
ACN,Accenture plc,T: Long,W:f - D:f,-0.0744,0.2156,"[[""LOW"", ""0-T  | ""], [""HD"", ""0-T  | ""], [""HUBS"", ""1-F | 0.01042 | 0.50865""], [""MOMO"", ""1-F | 0.02786 | 0.64719""], [""TXN"", ""1-F | 0.03329 | 0.37643""], [""FXP"", ""1-F | 0.03665 | 0.54788""], [""TSLA"", ""1-F | 0.03948 | 0.27856""], [""QCOM"", ""1-F | 0.05365 | 0.19512""], [""IONS"", ""1-F | 0.06004 | 0.70586""], [""GOOG"", ""1-F | 0.06317 | 0.11532""], [""DUK"", ""1-F | 0.06421 | 0.54499""]]","[[""ABT"", ""1-F | 0.00219 | 0.38124""], [""ALKS"", ""1-F | 0.00614 | 0.48692""], [""QCOM"", ""1-F | 0.03620 | 0.61266""], [""ADM"", ""1-F | 0.04350 | 0.62890""], [""MCD"", ""1-F | 0.05204 | 0.06196""], [""SBUX"", ""1-F | 0.10422 | 0.29511""], [""JAZZ"", ""1-F | 0.10853 | 0.32977""], [""SRCL"", ""1-F | 0.15610 | 0.47596""], [""HAE"", ""1-F | 0.19258 | 0.63389""], [""HD"", ""1-F | 0.24766 | 0.07653""], [""MEDP"", ""1-F | 0.24874 | 0.31712""]]","[[""^GSPC"", 0.67074], [""^DJI"", 0.63464], [""^IXIC"", 0.61214], [""XAK=F"", 0.60123], [""BLK"", 0.58148], [""ITW"", 0.57382], [""XAI=F"", 0.57048], [""^NYA"", 0.56793], [""V"", 0.55541], [""MA"", 0.55406], [""XAB=F"", 0.54744]]","[[""FXP"", -0.39616], [""HRTX"", -0.12165], [""JPYUSD=X"", -0.11393], [""MOMO"", -0.10967], [""GRPN"", -0.08724], [""T"", -0.07641], [""INCY"", -0.06702], [""ALKS"", -0.0589], [""IONS"", -0.04641], [""NNDM"", -0.0394], [""YY"", -0.03909]]","[[""IBM"", 0.47525], [""ITW"", 0.37721], [""^DJI"", 0.35267], [""CSCO"", 0.35164], [""VRSN"", 0.34126], [""MA"", 0.31892], [""NOW"", 0.31489], [""CRM"", 0.31101], [""AXON"", 0.30421], [""ADP"", 0.30413], [""ABT"", 0.30147]]","[[""HRTX"", -0.1411], [""FSLR"", -0.12872], [""NBIX"", -0.12522], [""ADM"", -0.12155], [""XAE=F"", -0.11793], [""EOG"", -0.1148], [""XOM"", -0.10564], [""HAE"", -0.09536], [""QCOM"", -0.07882], [""ALGM"", -0.07756], [""MRK"", -0.07188]]"
ADBE,Adobe Inc., ,W:f - D:f,0.0035,0.1096,"[[""UCTT"", ""1-F | 0.01015 | 0.19681""], [""MDB"", ""1-F | 0.01494 | 0.00210""], [""CSX"", ""1-F | 0.04919 | 0.20336""], [""HD"", ""1-F | 0.08057 | 0.05984""], [""APD"", ""1-F | 0.10517 | 0.12076""], [""HUBS"", ""1-F | 0.11049 | 0.32093""], [""LOW"", ""1-F | 0.11141 | 0.12181""], [""FXP"", ""1-F | 0.11970 | 0.29052""], [""BA"", ""1-F | 0.13085 | 0.64964""], [""MOMO"", ""1-F | 0.14798 | 0.33986""], [""LDOS"", ""1-F | 0.15170 | 0.18504""]]","[[""IONS"", ""1-F | 0.03220 | 0.29691""], [""000001.SS"", ""1-F | 0.05542 | 0.35222""], [""PLD"", ""1-F | 0.09316 | 0.23158""], [""NEOG"", ""1-F | 0.14180 | 0.35377""], [""ANTM.JK"", ""1-F | 0.14181 | 0.33790""], [""AMZN"", ""1-F | 0.17366 | 0.65670""], [""FOLD"", ""1-F | 0.18381 | 0.35979""], [""BB"", ""1-F | 0.18924 | 0.38659""], [""MDLZ"", ""1-F | 0.19187 | 0.28987""], [""CCI"", ""1-F | 0.19577 | 0.23689""], [""GOOGL"", ""1-F | 0.20490 | 0.62691""]]","[[""XAK=F"", 0.69613], [""^IXIC"", 0.66988], [""CRM"", 0.63502], [""MSFT"", 0.62323], [""INTU"", 0.61072], [""AMZN"", 0.59787], [""^GSPC"", 0.58482], [""NOW"", 0.58136], [""GOOG"", 0.55544], [""MDB"", 0.55124], [""HUBS"", 0.54955]]","[[""FXP"", -0.31927], [""T"", -0.1632], [""MO"", -0.13256], [""JPYUSD=X"", -0.10549], [""MOMO"", -0.0835], [""IMAX"", -0.07472], [""GRPN"", -0.07078], [""BFH"", -0.06865], [""ALKS"", -0.06372], [""NNDM"", -0.06028], [""HRTX"", -0.05236]]","[[""INTU"", 0.37801], [""MDB"", 0.30933], [""IONS"", 0.28109], [""ACN"", 0.2808], [""MSFT"", 0.26483], [""ACAD"", 0.26438], [""FOLD"", 0.25412], [""XAK=F"", 0.25405], [""INTC"", 0.2463], [""^IXIC"", 0.23772], [""NOW"", 0.23492]]","[[""XOM"", -0.19119], [""000001.SS"", -0.18524], [""RTX"", -0.16168], [""NOC"", -0.14304], [""GC=F"", -0.14261], [""JD"", -0.13369], [""CB"", -0.13066], [""T"", -0.13025], [""NEE"", -0.12029], [""MO"", -0.11493], [""EXEL"", -0.111]]"
ADM,Archer-Daniels-Midland Company, ,W:f - D:f,-0.2965,0.1892,"[[""JNJ"", ""1-F | 0.02573 | 0.00180""], [""T"", ""1-F | 0.05090 | 0.62337""], [""IONS"", ""1-F | 0.13976 | 0.63734""], [""CNC"", ""1-F | 0.14942 | 0.07439""], [""LSCC"", ""1-F | 0.21735 | 0.30850""], [""PEP"", ""1-F | 0.23139 | 0.10671""], [""ANTM.JK"", ""1-F | 0.24857 | 0.51763""], [""AMX"", ""1-F | 0.28019 | 0.50389""], [""BA"", ""1-F | 0.28714 | 0.56368""], [""PLD"", ""1-F | 0.30609 | 0.24380""], [""YY"", ""1-F | 0.32343 | 0.60973""]]","[[""GD"", ""0-T  | ""], [""AAOI"", ""1-F | 0.00018 | 0.93993""], [""JAZZ"", ""1-F | 0.00035 | 0.26068""], [""ALKS"", ""1-F | 0.00057 | 0.31007""], [""VRSN"", ""1-F | 0.00059 | 0.93025""], [""ZM"", ""1-F | 0.00061 | 0.94758""], [""CI"", ""1-F | 0.00075 | 0.40073""], [""GILD"", ""1-F | 0.00090 | 0.92125""], [""CSCO"", ""1-F | 0.00142 | 0.76119""], [""BMY"", ""1-F | 0.00150 | 0.73632""], [""V"", ""1-F | 0.00229 | 0.79854""]]","[[""^XAX"", 0.48942], [""CVX"", 0.48716], [""XAF=F"", 0.47116], [""^NYA"", 0.47045], [""BRK-B"", 0.46623], [""XAB=F"", 0.45481], [""XAE=F"", 0.4526], [""XAI=F"", 0.42095], [""UPS"", 0.41738], [""BAC"", 0.41731], [""SCHW"", 0.4132]]","[[""FXP"", -0.274], [""JPYUSD=X"", -0.24529], [""IONS"", -0.16486], [""SRCL"", -0.14035], [""MOMO"", -0.11893], [""HRTX"", -0.11712], [""GLPG"", -0.1067], [""ACAD"", -0.10562], [""QURE"", -0.09723], [""ZM"", -0.09445], [""INCY"", -0.07955]]","[[""VSH"", 0.36492], [""PEP"", 0.35373], [""CVX"", 0.30815], [""PFE"", 0.29862], [""XAE=F"", 0.29678], [""MDLZ"", 0.28281], [""EL"", 0.28179], [""XOM"", 0.27705], [""EOG"", 0.27192], [""CI"", 0.26892], [""KO"", 0.26579]]","[[""SRCL"", -0.25735], [""HUBS"", -0.20571], [""AAOI"", -0.20506], [""NOW"", -0.20393], [""MASI"", -0.19876], [""ISRG"", -0.19065], [""AVGO"", -0.18309], [""MRVL"", -0.17994], [""NFLX"", -0.17006], [""AMZN"", -0.15809], [""CLS"", -0.13503]]"
ADP,"Automatic Data Processing, Inc.", ,W:f - D:f,0.1000,0.0952,"[[""AON"", ""1-F | 0.00808 | 0.05316""], [""SO"", ""1-F | 0.01165 | 0.66004""], [""WM"", ""1-F | 0.01263 | 0.02671""], [""KO"", ""1-F | 0.01361 | 0.78659""], [""XAU=F"", ""1-F | 0.03042 | 0.06088""], [""MCD"", ""1-F | 0.03305 | 0.00718""], [""AAPL"", ""1-F | 0.05561 | 0.07776""], [""YY"", ""1-F | 0.06845 | 0.86378""], [""FXI"", ""1-F | 0.07538 | 0.83999""], [""UNH"", ""1-F | 0.07782 | 0.56019""], [""CB"", ""1-F | 0.08446 | 0.02567""]]","[[""MRK"", ""1-F | 0.00038 | 0.93073""], [""VSH"", ""1-F | 0.00053 | 0.83748""], [""SMCI"", ""1-F | 0.00624 | 0.88928""], [""LRCX"", ""1-F | 0.00749 | 0.88499""], [""BLK"", ""1-F | 0.01298 | 0.82787""], [""GILD"", ""1-F | 0.01845 | 0.17012""], [""ALGM"", ""1-F | 0.02391 | 0.83350""], [""HRTX"", ""1-F | 0.02418 | 0.80316""], [""ALL"", ""1-F | 0.03072 | 0.35709""], [""PYPL"", ""1-F | 0.03409 | 0.41098""], [""^DJI"", ""1-F | 0.03617 | 0.50504""]]","[[""^DJI"", 0.60188], [""XAI=F"", 0.56794], [""^GSPC"", 0.5652], [""V"", 0.56092], [""HON"", 0.54557], [""SPGI"", 0.54075], [""UNH"", 0.54074], [""WM"", 0.53688], [""SYK"", 0.53672], [""ACN"", 0.53546], [""ITW"", 0.53335]]","[[""FXP"", -0.30269], [""JPYUSD=X"", -0.16377], [""MOMO"", -0.15822], [""YY"", -0.10693], [""EURUSD=X"", -0.09498], [""T"", -0.07459], [""HRTX"", -0.07456], [""CLSK"", -0.06877], [""ALKS"", -0.0679], [""NNDM"", -0.06778], [""GRPN"", -0.06295]]","[[""^DJI"", 0.51973], [""XAI=F"", 0.48815], [""IBM"", 0.46597], [""XAF=F"", 0.45668], [""^NYA"", 0.45069], [""HD"", 0.43398], [""MA"", 0.43062], [""V"", 0.42879], [""BLK"", 0.42854], [""PNC"", 0.42398], [""JPM"", 0.42287]]","[[""FXP"", -0.26069], [""SMCI"", -0.24458], [""HRTX"", -0.21908], [""BA"", -0.17523], [""LRCX"", -0.17463], [""AMX"", -0.17447], [""WOLF"", -0.16702], [""INTC"", -0.16435], [""IONS"", -0.15017], [""CLDX"", -0.14101], [""SEDG"", -0.13832]]"
AIG,"American International Group, Inc.", ,W:f - D:f,0.1000,0.0964,"[[""GD"", ""1-F | 0.01153 | 0.60533""], [""QURE"", ""1-F | 0.07005 | 0.64425""], [""GLPG"", ""1-F | 0.07193 | 0.83082""], [""INTC"", ""1-F | 0.11744 | 0.90046""], [""XNCR"", ""1-F | 0.12242 | 0.63149""], [""BAX"", ""1-F | 0.14104 | 0.95635""], [""VZ"", ""1-F | 0.16964 | 0.83594""], [""XAE=F"", ""1-F | 0.18487 | 0.63584""], [""RTX"", ""1-F | 0.18490 | 0.04076""], [""TRV"", ""1-F | 0.18664 | 0.80432""], [""EOG"", ""1-F | 0.19802 | 0.37426""]]","[[""ADM"", ""0-T  | ""], [""VRSN"", ""1-F | 0.00349 | 0.66272""], [""LIVN"", ""1-F | 0.00638 | 0.00923""], [""HAE"", ""1-F | 0.00973 | 0.02844""], [""XAE=F"", ""1-F | 0.01066 | 0.02233""], [""XOM"", ""1-F | 0.01378 | 0.07032""], [""^N225"", ""1-F | 0.01513 | 0.00763""], [""ALKS"", ""1-F | 0.01717 | 0.15210""], [""JAZZ"", ""1-F | 0.01862 | 0.22872""], [""XAB=F"", ""1-F | 0.01917 | 0.35245""], [""ACAD"", ""1-F | 0.01971 | 0.02297""]]","[[""XAF=F"", 0.53322], [""TRV"", 0.51879], [""GD"", 0.50415], [""^NYA"", 0.50329], [""GE"", 0.49675], [""CB"", 0.49398], [""JPM"", 0.49164], [""AXP"", 0.48998], [""XAI=F"", 0.47802], [""BRK-B"", 0.47378], [""XAE=F"", 0.44915]]","[[""JPYUSD=X"", -0.22303], [""FXP"", -0.14864], [""QURE"", -0.13135], [""ZM"", -0.12372], [""ACAD"", -0.08851], [""MTCH"", -0.08728], [""NEO"", -0.08184], [""XNCR"", -0.07807], [""PTCT"", -0.07441], [""BAX"", -0.07392], [""NEOG"", -0.0713]]","[[""WM"", 0.40791], [""CB"", 0.40216], [""XAB=F"", 0.37302], [""XAE=F"", 0.35408], [""TRV"", 0.34997], [""XOM"", 0.31958], [""EOG"", 0.31638], [""EMR"", 0.31568], [""GD"", 0.30752], [""BAC"", 0.30566], [""JPM"", 0.30277]]","[[""FXP"", -0.16483], [""PACB"", -0.14245], [""ACAD"", -0.14235], [""JPYUSD=X"", -0.1333], [""SRCL"", -0.12633], [""CNMD"", -0.12081], [""FOLD"", -0.11804], [""ADBE"", -0.10402], [""ALKS"", -0.10224], [""VRSN"", -0.10003], [""IRWD"", -0.09842]]"
